ID;QN1;QN2;QN3;QN4A;QN4B;QN4C;QN4D;QN4E;QN5;QN6;QN7A;QN7B;QN7C;QN7D;QN8A;QN8B;QN8C;QN8D;QN8E;QN8F;QN8G;QN8H;QN8I;QN8J;QN8K;QN9A;QN9B;QN9C;QN9D;QN10A;QN10B;QN10C;QN10D;QN10E;QN10F;QN11A;QN11B;QN11C;QN11D;QN12;QN13;QN14;QN15;QN16A;QN16B;QN16C;QN16D;QN16E;QN16F;QN16G;QN17A;QN17B;QN17C;QN17D;QN17E;QN17F;QN18A;QN18B;QN18C;QN18D;QN18E;QN19A;QN19B;QN19C;QN19D;QN19E;QN19F;QN19G;QN19H;QN19I;QN19J;QN19K;QN19L;QN19M;QN19N;QN19O;QN19P;QN19Q;QN19R;QN19S;QN19T;QN19U;QN20A;QN20B;QN20C;QN20D;QN20E;QN20F;QN20G;QN20H;QN20I;QN20J;QN20K;QN20L;QN20M;QN20N;QN20O;QN20P;QN21A;QN21B;QN21C;QN21D;QN21E;QN22A;QN22B;QN22C;QN23A;QN23B;QN23C;QN23D;QN23E;QN23F;QN23G;QN23H;QN23I;QN23J;QN23K;QN23L;QN23M;QN23N;QN23O;QN23P;QN23Q;QN23R;QN24A;QN24B;QN24C;QN24D;QN24E;QN24F;QN24G;QN24H;QN24I;QN25A;QN25B;QN25C;QN25D;QN25E;QN25F;QN25G;QN25H;QN25I;QN26A;QN26B;QN26C;QN27A;QN27B;QN27C;QN27D;QN27E;QN27F;QN27G;QN27H;QN27I;QN28A;QN28B;QN28C;QN28D;QN28E;QN28F;QN28G;QN28H;QN28I;QN28J;QN29A;QN29B;QN29C;QN30;QN31;QN32A;QN32B;QN32C;QN32D;QN32E;QN32F;QN33;QN34;QN35;QN36A;QN36B;QN36C;QN36D;QN36E;QN36F;QN37A;QN37B;QN37C;QN37D;QN37E;QN37F;QN37G;QN38A;QN38B;QN38C;QN39A;QN39B;QN39C;QN39D;QN40A;QN40B;QN40C;QN40D;QN41A;QN41B;QN41C;QN41D;METRO;REGION;DIVISION;OWNHOME;MSTATUS;EMPLOY;ADULTS;KIDSLESS6;KIDS611;KIDS1217;PARENT;AGE;AGE2;AGE3;EDUC;INCOME;RACE;REGVOTE;SEX;RELIGION;LENGTH;DEVICE_TYPE;WEIGHT;I_ATTEND;I_EDUC;I_GENDER;I_MARITAL;I_RACE;I_RELIGION
60000002;1;2;3;3;3;3;3;3;5;6;2;2;1;1;4;4;6;6;6;6;6;3;4;6;6;3;2;4;2;1;3;2;3;1;1;1;1;1;4;2;2;2;2;2;4;2;1;2;4;4;4;2;3;4;1;4;3;4;3;4;3;4;3;4;4;2;4;4;4;3;3;4;3;2;3;1;4;4;4;3;3;4;4;4;3;4;4;4;3;4;3;3;4;3;4;4;4;3;4;4;4;4;4;4;1;4;2;2;4;3;3;4;3;3;4;2;3;3;4;2;4;4;4;3;2;2;4;4;4;4;2;4;4;2;4;4;4;2;4;4;4;4;2;2;4;3;4;-1;3;4;3;4;4;4;1;4;3;1;4;4;1;2;4;4;2;2;3;1;1;2;2;2;2;2;2;1;1;1;1;4;3;2;2;-1;2;2;2;4;4;2;4;1;6;2;1;2;2;1;1;2;2;1;1;1;2;2;1;3;5;2;2;2;3;0;0;0;;22;;1;4;2;1;1;2;90;13,3;c;1,0469;2;3;2;2;1;5
60000003;1;2;4;1;1;1;2;1;2;1;1;1;1;1;6;1;4;1;3;6;4;2;1;6;6;2;1;3;1;4;4;4;3;4;4;1;2;4;4;1;2;3;2;1;2;1;2;1;4;1;4;3;4;4;4;1;1;4;2;1;4;2;4;4;4;4;2;3;4;3;2;4;1;3;1;3;1;4;4;1;2;2;4;4;4;4;4;3;4;4;3;2;4;3;4;3;4;3;4;3;4;3;1;1;4;1;3;4;3;4;2;4;4;4;4;2;3;4;2;4;2;4;4;1;2;2;4;2;2;4;2;4;4;2;4;4;4;3;4;4;4;2;4;1;1;3;4;4;4;3;4;4;4;4;4;4;1;1;4;4;1;1;4;4;2;2;2;2;1;2;1;2;2;2;2;1;2;;2;1;1;2;2;4;1;4;4;4;1;2;1;4;5;4;1;1;1;1;1;1;1;1;1;2;2;1;1;4;9;2;1;1;2;0;0;0;;59;;3;7;7;1;1;1;7;22,8;p;0,4336;2;5;1;1;1;4
60000004;3;4;2;1;1;1;1;1;1;1;1;2;1;2;1;3;2;4;6;6;1;2;4;6;6;3;3;3;2;4;4;4;4;4;4;3;4;4;4;2;2;2;2;2;3;4;2;2;4;4;4;4;4;4;4;3;4;4;3;4;4;4;4;3;3;3;4;4;4;4;4;4;3;4;4;4;3;2;4;3;4;4;4;3;3;3;4;4;4;4;4;4;4;3;3;4;4;4;4;4;4;4;4;2;4;2;4;4;4;4;3;4;4;4;4;4;4;4;4;4;3;4;4;4;3;3;3;3;2;2;2;3;1;3;3;3;3;3;3;3;3;3;4;3;3;2;1;2;2;2;1;2;1;1;3;3;2;2;3;2;1;1;3;4;1;1;2;2;1;2;1;2;2;2;2;3;2;;2;2;2;2;2;3;1;4;3;3;3;2;2;4;1;2;2;1;1;2;2;1;1;2;1;2;2;1;2;2;3;1;3;2;3;0;0;0;;57;;3;5;8;1;1;1;15;16,6;c;0,4631;3;4;1;3;1;1
60000005;3;2;3;1;1;1;1;2;5;4;1;2;1;1;3;5;6;6;6;6;5;6;1;1;5;2;1;2;1;2;2;2;2;2;2;2;1;2;2;1;1;1;2;1;2;2;2;1;1;1;4;2;3;4;4;4;3;2;2;4;3;4;2;2;2;4;2;2;4;2;2;2;2;2;2;2;4;4;2;2;2;3;4;4;2;4;4;4;4;3;3;2;4;1;4;1;4;4;2;2;4;2;2;4;1;4;2;3;2;3;1;3;3;3;3;3;1;2;3;3;1;1;4;1;2;3;2;2;3;2;2;2;3;2;2;2;2;2;3;2;3;2;4;1;3;4;4;3;4;4;3;4;4;4;1;4;4;1;1;4;4;1;4;4;3;3;3;1;1;2;1;2;2;2;2;1;1;1;1;2;3;2;1;3;2;3;3;4;3;2;2;3;3;5;1;2;2;1;1;2;2;1;1;2;2;1;1;3;7;1;3;1;3;0;0;0;;35;;2;6;7;1;1;2;90;11,6;p;1,0567;2;5;2;3;1;5
60000006;2;2;3;3;2;3;2;4;7;4;2;2;1;2;5;2;3;6;4;6;3;2;5;4;6;3;2;3;2;2;2;1;1;1;1;3;2;3;4;2;2;1;2;3;3;2;3;2;3;3;4;3;4;4;3;4;3;3;3;3;3;3;3;3;3;3;2;3;3;3;3;1;2;3;3;2;4;4;2;3;1;3;4;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;4;3;3;4;4;2;1;2;3;3;2;3;3;3;3;3;3;4;4;4;4;4;2;4;4;3;4;4;4;4;4;3;4;4;1;4;4;3;1;4;4;4;4;4;4;4;4;4;4;3;4;4;1;4;4;2;3;2;4;2;2;3;2;2;2;1;2;2;1;2;2;1;3;1;3;3;2;2;4;2;3;1;4;4;1;4;2;3;3;1;2;2;1;1;2;2;1;1;1;1;2;3;1;1;1;1;2;3;0;0;2;2;22;;1;6;5;1;1;2;2;11,7;c;0,3412;2;5;2;1;1;2
60000007;3;4;2;3;3;2;2;3;4;4;1;2;8;8;3;5;5;3;5;3;3;3;3;1;4;1;1;1;1;1;1;3;2;3;2;1;1;1;1;2;2;2;2;2;2;2;2;2;4;3;1;3;2;4;4;4;2;2;2;2;2;1;2;2;2;2;1;3;2;1;3;2;1;3;2;2;3;2;3;2;2;1;2;1;1;3;4;1;3;2;1;2;1;1;1;3;2;3;1;1;3;1;2;2;4;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;3;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;3;3;4;4;4;3;3;3;3;4;4;4;1;4;4;1;4;4;4;3;3;3;2;1;3;1;2;2;1;2;4;2;;3;2;2;2;2;3;2;3;1;2;4;3;2;3;4;4;2;2;2;1;2;2;2;2;2;2;2;2;3;1;2;1;1;1;2;0;0;0;;25;;1;3;2;3;2;1;2;10,2;p;2,0212;3;2;1;1;4;2
60000008;3;1;4;4;1;4;1;4;6;6;1;2;1;1;2;6;3;6;6;6;1;4;6;2;2;3;3;4;4;4;4;4;4;4;4;4;4;4;4;1;1;1;1;1;4;4;2;2;4;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;4;4;4;4;4;4;4;1;4;4;4;4;4;4;4;4;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;4;1;1;4;4;4;1;4;1;4;4;1;1;4;4;4;4;4;4;4;2;4;4;4;3;4;4;4;4;1;4;4;3;1;4;4;1;1;1;2;2;1;2;2;2;2;2;3;3;;1;4;1;4;4;4;4;4;4;4;4;4;5;4;2;1;1;2;2;2;1;2;2;2;1;2;2;2;1;3;5;1;3;3;3;0;0;0;;59;;3;4;1;99;1;1;90;16,7;c;0,9427;1;3;1;3;;5
60000009;3;5;3;3;3;3;1;3;4;4;1;1;1;1;2;1;2;2;2;2;2;3;1;4;5;2;2;2;1;3;3;3;3;3;3;2;1;2;2;1;1;1;3;2;2;2;1;2;2;1;4;3;4;3;4;4;3;4;2;4;4;2;3;3;2;4;3;3;4;1;4;3;2;1;2;3;4;4;1;3;4;4;3;2;3;3;2;4;4;1;3;2;4;1;3;2;4;3;4;4;4;4;4;4;1;3;3;4;4;4;3;4;4;4;3;3;3;3;4;4;3;4;4;4;2;3;3;2;3;3;3;3;4;2;3;4;3;3;4;2;3;4;3;3;3;3;2;3;2;3;3;2;3;3;1;4;1;1;1;1;1;1;4;4;2;2;3;2;1;2;2;1;2;1;2;3;1;2;2;1;2;3;2;3;2;3;3;4;4;3;3;2;3;3;1;2;2;1;1;2;1;1;1;1;1;2;2;4;8;1;3;1;2;0;1;1;1;45;;2;7;8;1;1;1;90;23,6;c;0,468;4;5;1;3;1;5
60000010;3;6;3;2;1;3;1;1;5;2;1;1;1;2;3;2;6;1;6;6;2;3;2;6;4;2;3;3;4;4;1;2;2;4;4;1;4;1;2;1;2;1;2;2;3;2;2;4;1;2;3;4;4;2;5;4;4;2;1;1;1;1;4;4;1;2;3;1;2;3;3;2;1;2;4;2;4;1;3;3;3;3;4;1;1;3;4;4;4;3;4;4;4;3;2;1;4;2;3;3;2;3;3;2;4;3;3;4;1;1;2;1;4;4;4;1;3;1;4;4;1;2;1;2;3;3;3;3;4;1;3;4;3;4;3;3;4;4;2;4;4;4;4;1;1;3;4;1;4;2;2;1;3;3;4;4;4;1;4;4;1;1;4;1;2;2;2;2;1;1;2;1;2;1;2;3;2;;1;2;2;4;3;4;2;4;2;5;5;3;5;1;1;2;2;1;1;2;1;1;1;1;1;2;2;1;5;4;9;1;3;7;3;0;0;1;1;49;;2;4;4;1;1;1;90;30,5;p;1,5242;5;3;1;3;1;5
60000011;3;8;4;3;3;3;3;3;6;6;1;2;8;2;3;4;5;6;5;5;2;5;5;4;5;3;3;3;3;2;2;2;2;2;2;3;4;2;3;2;1;1;2;2;3;2;3;2;2;2;4;4;3;3;3;4;3;3;3;3;3;2;4;4;4;4;3;1;4;3;3;3;3;3;2;2;4;4;3;3;3;3;4;4;4;4;4;2;4;4;3;4;4;2;3;4;4;4;4;4;4;4;4;3;1;4;4;4;4;4;3;4;4;4;3;3;3;3;4;4;3;3;3;3;3;3;3;2;3;3;2;3;3;3;2;3;2;2;3;2;3;2;3;2;4;4;4;4;4;4;4;4;4;4;4;3;2;2;4;4;3;2;4;3;2;2;3;2;1;2;1;2;2;2;2;2;3;;1;2;2;2;2;3;3;3;2;4;4;3;5;1;2;2;1;2;2;1;1;2;2;2;2;1;1;2;2;4;9;1;6;3;1;0;0;0;;71;;4;6;3;1;1;2;20;29;c;1,4221;6;5;2;4;1;4
60000012;3;1;2;1;1;1;1;1;2;4;1;2;8;1;6;6;6;3;6;6;2;6;3;3;6;2;1;4;1;4;3;4;3;3;4;3;4;1;3;2;2;2;1;2;3;2;3;2;3;3;4;4;4;3;4;4;2;3;2;1;1;4;4;4;4;4;3;4;4;3;3;3;3;2;1;3;4;2;2;3;2;3;4;4;4;3;3;4;4;3;4;1;4;3;2;4;4;4;4;4;4;4;2;2;3;2;3;4;3;4;4;4;4;4;4;4;3;3;4;4;1;1;2;2;3;3;3;2;3;2;3;3;2;3;2;2;1;3;3;1;2;1;1;1;1;3;2;1;3;3;2;3;3;1;4;4;4;2;4;4;3;4;3;4;2;4;4;2;4;2;1;1;2;2;2;1;2;;2;1;1;2;1;3;1;4;1;5;5;2;1;2;2;2;2;1;1;2;1;1;2;2;1;2;2;1;-1;-1;-1;1;3;1;2;0;0;0;;99;3;3;5;99;1;1;1;15;28,9;p;0,5852;1;4;1;3;1;1
60000013;3;8;5;1;3;1;1;3;4;4;1;2;1;2;1;4;3;4;4;5;1;4;4;4;4;2;2;4;4;3;3;3;3;3;3;1;1;1;2;2;2;3;2;2;3;2;3;1;3;3;4;4;4;4;4;4;4;3;4;4;4;4;4;3;4;3;3;4;4;2;3;3;3;4;3;3;2;3;4;3;3;3;4;4;4;3;3;3;4;3;2;4;4;4;4;3;4;4;3;4;4;2;4;3;3;3;4;4;4;4;3;4;4;4;4;4;3;3;4;4;3;3;3;4;3;3;3;3;3;2;3;3;3;3;3;3;2;3;3;2;3;3;4;4;4;2;3;2;2;2;2;3;3;2;4;4;4;1;4;4;4;4;4;4;4;4;4;2;2;3;3;1;1;2;2;1;2;;2;2;2;3;3;2;4;4;4;4;4;4;4;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;5;2;4;1;3;1;2;0;0;0;;36;;2;6;99;1;1;2;2;28,6;c;0,3811;6;5;2;3;1;2
60000015;2;2;3;4;4;4;1;4;6;6;1;2;1;1;5;2;5;5;1;5;3;5;1;1;4;2;2;3;1;1;1;1;1;1;1;2;3;2;2;2;2;1;2;2;3;2;2;2;3;2;4;3;3;4;4;4;3;3;2;3;3;2;4;4;2;4;1;2;4;2;1;2;3;1;1;2;3;3;1;2;1;3;4;4;4;4;4;3;4;2;3;3;4;2;2;3;4;3;4;4;4;4;4;3;2;3;3;2;3;4;2;4;3;4;4;2;2;3;3;4;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1;4;3;3;3;3;3;3;3;3;3;3;4;4;2;3;4;4;2;4;4;4;4;3;1;1;3;3;2;2;2;2;3;2;;2;2;2;3;3;4;1;1;1;4;3;2;5;3;2;1;1;2;2;1;1;2;2;1;2;1;2;2;2;4;9;1;3;2;2;0;0;0;;67;;4;6;5;1;1;2;90;48,6;c;0,4742;2;5;2;3;1;5
60000016;1;2;4;3;3;3;3;3;4;4;2;2;1;8;1;1;6;5;5;5;5;4;5;6;-1;3;3;4;3;2;2;1;3;1;2;3;4;3;3;2;1;3;2;2;3;3;2;2;3;3;4;4;4;3;5;4;4;4;2;2;4;3;4;4;3;4;2;2;4;2;3;3;3;3;3;2;4;4;3;3;3;3;4;3;3;3;3;4;4;3;4;4;4;3;3;2;4;4;4;4;4;4;4;4;1;4;3;4;4;4;3;4;4;4;4;4;3;3;3;3;2;2;3;3;2;2;3;4;4;4;2;3;4;3;3;3;2;3;4;3;3;3;3;2;4;4;2;4;4;4;3;3;4;4;4;2;4;2;4;4;4;4;2;2;2;2;3;2;2;3;3;1;2;2;2;3;2;;2;2;2;3;3;3;3;3;3;4;4;4;5;2;1;1;1;2;2;1;1;1;2;1;1;1;2;1;1;4;9;1;3;3;2;0;0;0;;78;;4;8;99;1;1;1;96;36,9;c;0,4534;2;6;1;3;1;5
60000017;3;6;2;2;1;1;1;2;4;4;1;2;1;1;4;6;4;6;5;6;3;6;4;3;6;3;3;4;4;2;2;2;2;2;4;2;3;3;2;1;1;1;3;2;3;2;2;3;3;1;4;3;4;2;3;4;3;2;2;2;1;3;4;4;4;2;3;1;2;2;3;2;2;2;2;1;4;4;2;2;3;3;4;4;2;2;3;3;4;4;4;4;4;4;1;4;4;3;3;3;4;3;4;4;1;4;2;4;3;3;2;2;2;3;4;2;2;2;2;3;1;1;4;2;2;2;2;1;2;2;2;2;3;2;2;2;2;2;3;1;2;2;2;1;1;4;3;4;2;4;3;4;4;4;3;1;1;1;3;4;2;2;4;3;2;2;3;2;1;1;2;2;2;2;2;1;1;3;2;2;3;2;3;3;1;2;1;1;1;1;5;2;2;2;1;2;2;1;1;2;2;1;1;2;2;1;2;4;9;1;3;1;3;0;1;0;2;56;;3;4;4;99;1;2;90;34,3;p;0,4791;5;3;2;3;;5
60000018;2;1;4;2;2;2;2;3;2;2;1;2;1;2;2;2;3;4;4;4;4;6;3;3;6;2;2;3;1;4;3;2;4;3;3;3;4;1;3;1;1;3;3;2;3;4;1;2;4;4;4;4;4;3;3;4;4;3;3;3;3;3;4;3;3;2;3;3;4;3;4;4;3;2;3;1;4;4;2;3;3;3;4;1;3;4;4;4;4;4;4;4;4;3;3;4;4;4;4;4;4;4;4;2;1;3;4;4;3;4;2;4;2;3;4;3;4;4;4;3;3;4;4;3;3;4;4;3;4;4;3;4;4;4;4;4;4;3;4;3;4;4;4;2;3;4;4;4;4;3;4;2;3;3;2;4;1;1;3;4;1;1;4;4;2;2;3;2;4;2;3;2;2;1;1;1;1;2;2;3;2;2;3;3;2;4;3;4;3;4;3;2;2;2;1;1;1;2;1;1;1;2;1;2;2;2;1;2;4;2;2;5;3;0;0;0;;20;;1;4;1;1;2;2;90;17;p;1,0289;1;3;2;2;1;5
60000019;3;7;2;2;3;2;1;3;2;3;2;2;2;2;1;5;1;4;3;4;2;6;2;4;5;3;3;3;3;2;2;2;2;2;2;3;4;3;2;2;2;2;2;2;3;2;2;3;3;2;4;4;4;2;4;4;4;4;1;3;4;3;2;3;3;3;4;3;4;2;3;3;3;3;3;3;4;4;3;3;2;3;4;4;4;3;4;3;4;4;4;4;4;3;4;4;4;4;3;3;2;3;3;3;3;2;3;4;3;4;2;4;3;4;3;3;3;3;3;4;2;3;3;3;4;4;4;4;4;4;4;4;4;4;3;3;1;3;4;2;3;3;3;2;3;3;2;3;3;3;3;3;4;3;2;4;4;1;3;1;2;2;4;4;1;1;3;1;2;2;2;2;1;2;2;1;1;3;2;2;2;3;1;2;2;1;1;4;4;4;5;3;3;1;1;2;2;1;1;2;2;2;2;1;1;2;1;3;5;1;3;3;2;0;0;0;;70;;4;8;7;1;1;1;15;19,1;c;0,4928;5;6;1;3;1;1
60000020;3;7;1;1;1;1;1;3;4;7;2;2;8;1;1;6;1;1;6;6;1;6;1;6;1;1;1;4;1;1;1;1;1;1;1;3;4;4;3;1;1;1;2;3;3;1;1;2;1;1;4;4;4;3;4;4;1;1;1;1;1;1;1;1;1;1;4;1;1;1;1;1;1;1;1;1;4;1;1;1;1;1;1;1;1;1;4;-1;4;1;2;1;4;1;1;1;1;1;-1;1;4;1;1;3;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;4;4;1;3;4;3;4;1;3;1;1;3;1;3;1;3;1;1;1;1;4;4;4;3;4;4;3;4;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;2;3;1;4;1;1;1;1;1;1;5;5;1;1;1;5;5;6;2;4;1;2;2;1;1;2;2;1;2;1;1;2;2;3;6;1;1;7;2;0;0;0;;99;3;3;3;99;2;1;2;1;21,5;p;1,7683;5;2;2;1;2;1
60000021;3;6;1;3;2;3;1;2;2;1;1;2;8;8;2;6;6;1;6;6;2;2;6;6;6;3;2;3;1;2;1;2;1;2;2;1;4;2;2;2;2;2;1;2;3;2;2;2;3;3;4;4;4;4;4;4;2;3;1;2;3;1;2;1;1;2;1;2;2;1;1;1;1;2;2;2;1;1;1;1;1;1;4;4;3;4;4;2;4;3;4;4;4;4;4;4;4;4;2;3;1;3;1;2;3;2;2;3;2;2;2;3;4;4;1;2;3;3;3;4;1;1;3;2;2;2;3;2;2;2;2;3;3;1;1;2;3;1;2;3;2;1;2;1;2;3;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;1;1;2;1;2;3;2;1;2;2;1;2;;2;1;2;1;1;3;1;4;1;4;3;1;1;3;2;2;2;1;1;2;2;1;1;2;1;2;2;1;5;1;1;1;3;3;2;0;0;0;;71;;4;6;6;1;;1;;27,4;p;0,6852;5;5;1;3;1;
60000022;2;2;5;3;3;3;2;3;2;1;1;2;1;1;3;3;5;5;5;6;2;2;1;4;6;3;2;3;2;3;3;3;4;4;4;2;3;2;4;1;2;2;2;2;2;3;2;2;3;3;4;4;4;4;4;4;3;3;2;3;2;4;3;4;4;4;4;4;4;4;4;4;3;3;3;4;4;1;3;3;4;4;4;4;4;3;4;3;4;3;4;3;4;3;2;4;4;4;4;4;4;4;4;2;2;2;4;4;4;4;3;4;4;4;4;4;4;3;3;3;3;3;4;3;3;3;4;3;3;4;3;4;4;4;4;4;4;4;4;4;4;4;4;2;2;2;2;1;2;2;1;1;4;1;4;4;4;1;4;4;4;4;4;4;1;1;1;1;2;2;2;2;2;2;2;3;1;4;3;3;2;3;3;2;3;4;4;4;3;4;4;3;3;2;2;1;1;2;2;1;1;2;1;2;2;1;2;3;5;1;3;1;2;1;0;1;1;47;;2;6;8;1;1;1;96;64,4;p;0,5093;2;5;1;3;1;5
60000023;3;5;2;2;3;4;1;3;4;4;1;2;1;2;3;5;2;6;5;5;2;5;5;3;5;4;2;4;3;2;1;1;1;1;1;4;4;3;3;2;2;1;2;2;4;3;2;3;4;4;4;3;4;2;4;4;4;4;1;1;1;4;4;3;3;3;3;3;4;1;2;3;1;2;1;1;4;3;2;2;2;3;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;2;3;2;2;4;2;4;2;2;4;4;2;2;1;2;2;4;1;1;1;2;2;3;4;3;3;2;2;3;4;2;1;2;1;1;3;1;3;2;1;1;1;3;2;4;3;4;4;3;3;4;3;4;4;1;3;4;1;1;4;4;2;2;3;2;1;2;2;1;2;2;2;1;3;;1;1;1;1;1;4;1;2;1;5;2;1;5;3;2;2;1;2;2;1;1;2;2;1;1;2;2;1;3;2;3;1;3;2;2;0;0;0;;66;;4;7;7;1;1;1;22;19,1;c;0,62;4;5;1;3;1;3
60000024;2;2;2;2;2;2;2;1;2;3;1;2;1;1;1;6;6;1;6;6;3;1;1;1;6;4;3;4;3;4;4;4;4;4;4;1;1;2;4;2;1;1;3;3;2;4;2;3;4;4;3;4;4;4;4;4;3;4;4;4;3;4;4;4;4;4;4;4;4;4;3;3;4;4;3;3;4;4;4;2;4;3;4;4;1;3;4;4;2;4;4;4;4;4;4;4;4;4;4;4;4;4;3;1;4;1;3;4;3;4;3;4;4;4;4;4;4;3;3;4;3;4;3;2;4;4;4;4;4;4;2;4;2;1;1;1;1;1;1;1;3;1;4;2;4;3;1;4;2;1;1;3;3;1;4;4;4;1;1;1;1;1;4;4;1;1;1;2;3;2;1;1;2;2;2;1;2;;1;3;3;3;4;2;2;4;4;4;4;4;2;4;3;2;2;1;1;2;1;1;1;2;1;2;2;2;1;4;8;2;2;1;2;2;0;1;1;41;;2;2;7;1;1;1;22;13,4;p;0,6088;2;1;1;2;1;3
60000025;1;1;5;4;3;3;4;3;6;6;1;1;1;1;3;6;4;6;4;4;4;6;4;2;4;3;1;4;1;1;1;1;1;1;1;1;2;1;2;2;2;2;2;2;3;2;3;2;3;3;5;3;1;3;2;4;2;3;2;2;2;2;2;3;2;2;3;2;2;2;2;3;2;2;2;2;4;4;2;4;3;3;4;2;4;4;4;4;2;4;3;4;4;2;2;3;3;4;2;2;2;2;2;3;2;4;2;1;2;2;2;1;2;1;2;2;2;1;2;2;1;1;1;3;2;2;2;2;2;3;2;2;4;2;3;2;1;2;3;2;2;2;2;2;4;4;3;3;3;3;3;3;3;4;4;4;3;2;3;4;3;2;4;4;3;3;3;1;2;2;1;2;2;1;2;1;2;;2;3;3;2;2;3;3;3;1;4;4;1;5;2;2;3;1;2;2;1;1;2;2;1;2;1;1;2;5;1;2;2;1;2;3;0;0;0;;30;;2;6;99;1;1;2;96;23;p;0,9865;1;5;2;1;1;5
60000026;4;9;1;1;1;1;1;1;2;4;1;1;1;1;6;6;6;6;6;6;-1;6;6;6;6;3;3;3;3;2;2;2;2;2;2;1;1;1;2;2;2;3;2;2;3;3;2;2;3;2;5;1;4;3;4;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;-1;4;4;4;1;3;2;4;3;4;4;4;1;3;1;1;2;2;2;2;2;2;4;3;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;4;2;4;1;2;2;2;1;1;1;1;1;1;1;1;1;2;1;4;4;4;4;4;3;4;4;4;4;2;4;3;1;1;4;1;1;1;4;4;4;4;2;1;2;3;2;2;2;2;1;1;1;2;2;2;2;2;3;3;5;2;4;3;2;5;2;2;4;-1;-1;-1;-1;1;1;1;1;1;1;1;1;1;2;3;1;6;1;1;0;0;1;1;52;;3;8;99;1;1;2;7;22,1;p;0,3679;6;6;2;4;1;4
60000027;4;2;2;1;1;2;1;2;5;5;2;1;1;2;6;6;1;6;1;1;1;6;5;5;6;3;2;4;2;1;1;1;1;1;1;3;4;2;3;1;1;1;2;1;2;3;1;1;3;3;4;4;4;4;4;4;3;4;2;4;3;4;3;4;4;4;2;3;4;2;3;3;2;3;3;2;4;4;2;3;3;3;4;4;4;4;4;3;4;4;4;4;4;3;4;3;4;4;3;3;4;4;4;3;3;3;4;4;4;4;3;4;3;4;4;3;3;4;4;4;3;2;4;3;2;2;2;1;2;1;1;2;3;1;2;3;2;2;3;1;3;3;3;2;4;4;4;4;4;4;4;4;4;4;1;3;1;4;3;2;1;1;3;3;2;3;3;1;2;2;2;1;1;2;2;1;3;;1;1;2;2;1;4;1;1;1;4;4;1;4;5;1;1;1;2;2;1;1;-1;2;1;2;1;1;2;2;3;5;1;3;3;2;0;0;0;;63;;3;6;7;1;1;2;15;24,1;c;0,3686;2;5;2;3;1;1
60000028;3;5;2;2;3;2;2;3;2;2;1;2;2;2;2;3;4;3;4;5;3;4;3;5;6;4;2;3;2;4;4;4;4;3;4;2;3;2;3;2;2;3;2;2;3;3;2;2;4;3;4;3;4;3;4;4;4;4;3;4;3;3;4;3;3;3;4;3;3;3;4;3;3;3;4;4;4;4;3;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;2;3;4;2;3;3;4;4;4;4;2;4;4;4;4;4;4;3;4;4;3;3;4;4;4;4;4;4;4;3;2;4;4;3;4;3;3;3;3;3;3;3;4;4;4;3;3;3;3;3;2;2;3;2;2;1;1;2;2;1;2;-1;2;2;3;2;2;2;1;3;3;2;2;2;2;1;1;2;2;3;2;3;2;3;4;4;4;4;4;4;4;3;2;1;2;1;1;2;2;1;1;2;1;1;1;2;5;3;6;1;3;1;3;0;0;2;1;50;;3;6;8;1;1;1;15;23,1;p;0,7538;4;5;1;3;1;1
