ID;QN1;QN2;QN3;QN4;QN5A;QN5B;QN5C;QN5D;QN5E;QN5F;QN5G;QN5H;QN6;QN7A;QN7B;QN7C;QN7D;QN7E;QN8;QN9;QN10;QN11;QN12;QN13A;QN13B;QN13C;QN13D;QN13E;QN14A;QN14B;QN14C;QN14D;QN15A;QN15B;QN15C;QN15D;QN15E;QN16A;QN16B;QN16C;QN16D;QN16E;QN16F;QN17A;QN17B;QN17C;QN17D;QN17E;QN17F;QN17G;QN17H;QN18;QN19;QN20;QN21A;QN21B;QN21C;QN21D;QN21E;QN21F;QN21G;QN22A;QN22B;QN22C;QN22D;QN22E;QN23A;QN23B;QN23C;QN23D;QN23E;QN23F;QN23G;QN23H;QN23I;QN23J;QN23K;QN23L;QN23M;QN23N;QN23O;QN23P;QN23Q;QN23R;QN23S;QN23T;QN23U;QN24A;QN24B;QN24C;QN24D;QN24E;QN24F;QN24G;QN24H;QN24I;QN24J;QN24K;QN24L;QN24M;QN24N;QN24O;QN24P;QN24Q;QN24R;QN24S;QN25A;QN25B;QN25C;QN25D;QN25E;QN25F;QN25G;QN26A;QN26B;QN26C;QN26D;QN26E;QN27A;QN27B;QN27C;QN27D;QN27E;QN27F;QN27G;QN27H;QN27I;QN27J;QN27K;QN27L;QN27M;QN27N;QN27O;QN27P;QN27Q;QN27R;QN28A;QN28B;QN28C;QN28D;QN28E;QN28F;QN28G;QN28H;QN29A;QN29B;QN29C;QN30A;QN30B;QN30C;QN30D;QN30E;QN30F;QN30G;QN30H;QN30I;QN31A;QN31B;QN31C;QN32A;QN32B;QN32C;QN33A;QN33B;QN33C;QN33D;QN34A;QN34B;QN34C;QN34D;QN34E;QN34F;QN34G;QN34H;QN34I;QN34J;QN34K;QN34L;QN34M;QN34N;QN34O;QN35A;QN35B;QN35C;QN35D;INCOME;STATE;METRO;REGION;DIVISION;OWNHOME;MSTATUS;EMPLOY;ADULTS;KIDS1217;KIDS611;KIDSLESS6;PARENT;AGE;AGE2;AGE3;EDUC;RACE;REGVOTE;SEX;RELIGION;DEVICE_TYPE;LENGTH;WEIGHTCV;WEIGHTNOCV;I_RELIGION;I_SEX;I_AGE;I_EDUC;I_RACE;I_MARITAL
3;3;6;3;2;3;3;3;3;1;1;2;3;2;4;4;3;2;3;4;5;5;1;2;1;3;1;1;3;3;3;2;2;1;5;1;10;15;1;1;1;1;1;1;2;1;2;4;2;2;2;1;2;2;2;3;2;2;2;2;3;4;1;2;2;2;1;4;4;3;3;2;2;4;4;3;2;2;3;3;2;1;4;4;3;2;2;1;4;4;4;3;3;3;3;3;3;3;2;4;4;2;3;3;4;2;4;4;3;3;4;3;1;1;3;2;4;3;3;3;3;3;4;2;4;3;4;4;2;4;2;4;3;2;2;4;2;2;2;4;1;1;2;3;2;2;2;1;4;3;4;3;3;4;3;3;4;1;2;1;2;3;4;1;2;2;1;4;2;4;4;1;3;3;2;2;3;2;2;1;2;3;2;2;3;2;7;IL;3;2;3;1;3;1;2;0;1;0;1;35;;2;8;1;1;2;2;2;11,85;0,5541;0,78;2;2;2;4;1;3
4;2;4;2;2;4;3;3;2;1;2;2;3;3;4;4;1;2;3;4;4;4;1;2;6;4;1;4;6;2;2;2;1;0;15;0;15;15;3;2;3;2;3;3;3;5;4;4;1;3;3;2;1;2;2;2;4;2;2;2;4;4;3;3;1;3;2;4;4;3;4;4;4;4;4;4;4;4;3;2;4;2;4;4;3;4;4;3;4;3;4;4;4;4;3;4;4;2;3;4;4;2;3;3;4;3;3;4;4;4;4;4;1;1;4;1;2;4;4;3;4;4;4;2;3;4;4;4;4;3;2;4;4;2;2;2;4;4;4;4;4;4;4;4;4;1;1;3;3;3;4;3;4;4;2;4;3;3;4;4;1;6;2;2;2;2;1;4;3;4;3;2;3;2;3;3;3;3;1;2;2;3;3;2;3;3;8;OH;2;2;3;1;1;1;1;0;0;0;2;30;;2;8;1;1;1;97;1;12,916667;0,7092;0,9636;4;1;2;4;1;1
6;1;1;4;5;;;;;2;4;4;3;2;3;3;1;2;2;4;2;2;1;1;6;6;6;3;6;1;2;2;2;0;0;0;5;15;4;3;3;4;4;4;3;3;4;2;3;4;4;2;2;2;2;3;3;4;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;4;3;4;4;4;4;4;4;3;3;4;4;4;4;4;4;3;4;4;4;4;4;4;3;4;2;4;4;3;4;3;4;4;4;1;1;3;3;2;2;2;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;3;3;3;3;3;4;2;2;3;3;3;3;1;3;3;3;1;3;4;4;1;2;3;2;2;2;1;3;2;4;4;3;3;1;3;3;3;3;2;3;2;2;4;2;2;3;8;OH;5;2;3;1;3;1;2;1;0;0;1;43;;2;3;1;1;1;95;2;25,4;0,5378;0,8661;5;1;2;1;1;3
7;3;7;4;1;1;2;2;2;2;2;3;4;2;4;3;2;2;2;3;3;4;1;3;6;1;1;6;6;4;2;4;2;10;0;0;5;20;3;4;4;4;4;2;4;4;4;4;4;4;4;4;1;1;3;2;4;4;1;2;4;2;4;4;4;4;4;3;4;4;3;2;4;2;4;3;4;4;4;3;4;4;4;4;4;3;4;4;4;3;4;4;3;3;3;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;3;1;1;3;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;2;1;3;3;4;3;3;2;3;3;3;4;4;4;1;2;2;1;1;1;1;4;3;4;3;3;3;3;3;2;4;3;1;1;1;2;3;3;3;3;8;UT;1;4;8;1;3;1;2;0;0;2;1;28;;1;6;1;1;1;10;1;18,466667;1,0954;1,5089;3;1;1;3;1;3
8;4;9;2;2;4;4;3;2;1;1;1;3;3;4;2;1;3;2;4;6;7;1;2;5;6;2;1;6;2;2;3;2;0;4;0;10;15;2;2;2;1;2;1;3;1;3;4;4;4;3;3;2;2;2;2;3;2;2;2;3;3;3;3;3;1;2;4;4;3;4;3;4;4;4;2;3;3;3;3;4;2;4;4;4;3;2;2;4;4;4;4;3;4;4;3;4;3;3;4;4;4;4;3;4;4;4;4;4;3;4;4;1;1;4;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;1;4;4;4;4;4;4;4;4;4;4;3;4;4;1;2;2;2;1;2;2;4;1;3;3;1;4;3;2;1;3;3;1;3;1;1;3;4;4;1;6;WI;5;2;3;1;3;1;2;0;0;3;1;33;;2;8;1;1;1;97;1;7,633333;0,7236;0,9832;4;1;2;4;1;3
9;3;8;2;1;3;4;2;4;1;1;3;3;1;3;2;3;1;1;2;2;1;1;1;2;6;5;3;6;2;3;4;3;15;20;30;5;5;2;2;2;2;2;3;1;5;2;4;2;3;2;3;2;2;3;2;2;3;3;2;1;2;2;4;1;3;2;3;3;2;2;1;2;3;4;1;2;3;2;2;2;2;4;1;3;2;2;2;4;4;3;3;3;4;4;2;3;4;4;4;4;3;4;4;4;4;4;3;4;2;4;3;1;1;3;2;3;3;4;3;3;3;4;3;4;3;4;3;2;2;2;4;4;2;2;3;2;2;3;2;2;2;2;3;3;3;2;2;2;3;1;3;3;2;3;2;1;2;3;3;6;4;4;2;1;2;2;4;2;3;3;1;3;1;3;3;3;4;1;2;2;3;3;3;3;3;1;OH;2;2;3;2;6;7;1;0;0;0;2;53;;3;3;1;1;1;97;1;25,85;3,2287;3,9125;4;1;3;1;1;2
10;2;1;4;3;;;;;3;3;3;3;3;4;3;2;2;2;4;4;4;4;4;2;6;1;6;6;3;1;3;1;0;5;5;5;15;2;2;2;3;3;2;1;5;2;2;1;4;3;4;2;2;3;2;2;3;3;2;4;2;3;4;3;2;4;2;4;1;2;1;2;2;2;3;1;1;1;2;2;1;4;4;3;1;4;4;3;3;4;4;1;2;3;2;4;4;1;4;2;2;2;3;4;3;2;4;4;4;4;4;1;1;4;4;3;3;4;2;2;2;3;2;3;4;4;1;1;2;2;2;3;1;2;2;1;4;4;4;4;4;4;4;4;4;1;4;4;3;3;4;2;2;4;3;4;4;4;4;1;4;5;2;2;2;1;4;4;4;4;4;1;1;4;1;1;4;1;2;1;4;4;3;4;4;8;WY;5;4;8;1;4;1;1;0;0;0;2;32;;2;8;9;2;1;90;1;10,616667;0,2351;0,302;5;1;2;4;4;2
11;2;1;4;3;;;;;1;1;1;4;3;4;4;4;3;3;2;2;4;4;4;1;6;1;1;1;3;1;3;1;5;0;5;5;20;1;1;1;1;2;2;1;1;1;1;1;2;1;3;2;1;2;1;4;1;3;2;3;3;2;3;2;3;1;1;1;2;1;2;2;2;2;1;1;2;2;2;1;1;3;4;1;1;1;2;4;2;4;3;1;3;4;1;1;3;1;1;4;1;2;3;2;2;2;3;2;3;2;3;2;2;3;2;4;3;4;3;3;1;1;2;1;1;1;1;1;3;4;1;1;3;3;3;1;1;2;1;2;1;3;1;1;1;2;1;3;2;2;1;3;3;3;3;4;3;1;2;3;1;3;2;1;2;2;3;1;4;4;1;3;3;3;1;3;3;1;3;1;2;1;1;1;1;2;NY;1;1;2;2;1;2;3;0;0;1;1;29;;1;2;1;1;2;90;2;16,3;1,1647;2,0086;5;2;1;1;1;1
12;3;7;2;2;1;3;3;3;1;2;3;2;1;3;2;2;2;3;3;3;4;1;1;4;6;2;1;6;3;3;3;2;0;0;0;0;28;2;3;3;4;4;2;3;4;3;4;4;4;4;3;1;1;1;1;2;2;1;1;4;4;4;4;3;3;3;3;4;4;4;4;3;3;4;4;4;4;3;4;4;3;4;4;4;3;3;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;2;3;2;2;2;2;2;2;3;4;4;3;4;3;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;2;3;3;2;3;2;4;3;2;4;4;1;2;2;4;2;1;2;2;4;2;4;1;4;4;2;2;1;3;3;1;3;1;3;4;4;3;4;5;CA;1;4;9;2;1;2;4;0;0;0;2;19;;1;4;3;2;1;2;1;17,116667;0,6666;1,075;2;1;1;2;3;1
13;3;5;3;2;4;4;4;4;2;3;4;3;3;4;4;1;2;4;4;7;7;1;2;6;5;3;2;6;1;1;1;1;12;20;25;18;8;2;1;1;1;2;1;1;1;2;3;1;4;3;1;2;2;2;2;3;2;4;3;2;2;4;4;3;2;1;3;3;3;3;3;4;3;4;3;1;2;3;3;2;1;4;4;2;1;2;4;3;2;4;4;2;3;3;1;2;3;1;3;3;1;4;2;4;3;1;4;4;4;4;4;1;1;4;1;4;4;4;2;1;1;2;2;4;1;1;4;1;2;2;3;1;4;3;4;2;2;3;3;1;3;4;4;1;2;1;4;4;4;4;4;4;4;4;4;4;3;1;3;1;4;3;2;2;2;2;4;4;4;4;1;4;4;4;3;2;3;1;1;3;4;1;4;4;4;4;NY;1;1;2;1;3;1;2;0;0;0;2;24;;1;6;1;1;2;96;1;11,016667;1,7464;1,1374;5;2;1;3;1;3
14;2;2;4;3;;;;;2;2;4;1;1;4;3;1;2;3;3;6;5;1;2;4;5;3;2;3;3;3;4;4;5;0;0;0;10;2;2;2;2;3;2;3;3;4;3;3;4;4;2;2;2;2;2;3;3;2;3;4;4;4;4;3;3;3;4;4;4;4;3;3;3;4;4;3;4;2;4;2;4;4;4;3;3;3;3;4;4;4;4;3;3;4;3;4;4;3;4;4;4;4;4;4;4;4;4;4;4;3;3;1;1;3;2;3;3;3;4;4;4;4;3;4;4;4;4;3;3;3;4;4;3;4;4;3;4;3;3;3;4;4;3;3;4;3;4;4;3;3;3;3;3;3;3;4;2;3;1;2;2;2;2;2;2;2;4;4;4;4;1;4;3;3;1;4;4;1;2;2;1;3;4;3;4;6;OR;5;4;9;2;3;1;2;0;0;0;2;53;;3;6;1;1;2;2;2;16,983333;0,3276;0,4513;2;2;3;3;1;3
15;3;5;4;3;;;;;1;3;4;4;3;4;4;1;4;4;4;5;4;1;2;6;6;2;2;6;3;3;3;3;0;2;0;2;28;1;2;1;1;3;1;3;3;4;3;2;4;4;1;2;2;2;2;2;3;2;1;3;3;4;4;1;3;1;2;4;4;3;3;2;2;2;2;3;2;1;2;1;1;4;4;2;2;3;3;4;4;4;4;4;3;3;3;4;3;3;4;4;3;3;4;4;4;4;4;3;3;3;3;1;1;4;1;4;4;3;4;4;4;4;3;2;2;4;1;1;4;4;4;4;3;3;4;1;2;3;3;1;3;4;4;4;3;1;4;4;4;4;3;4;4;4;4;4;4;4;4;2;2;3;2;2;2;2;4;4;4;4;1;4;4;3;2;3;3;1;1;2;2;2;4;4;4;9;WA;1;4;9;1;3;2;2;1;1;0;1;42;;2;6;1;1;2;97;2;20,116667;0,2146;0,2978;4;2;2;3;1;3
16;3;6;4;4;;;;;2;3;4;4;3;4;4;1;3;4;4;6;7;1;2;6;6;1;1;6;3;3;3;3;0;5;0;0;25;3;3;3;3;3;2;3;5;3;3;3;4;3;2;1;1;1;1;2;4;2;1;3;4;2;3;3;2;2;3;3;4;3;4;1;2;4;4;3;3;3;2;3;3;4;4;2;3;3;3;3;4;4;4;4;3;3;4;4;2;4;3;4;3;4;4;4;3;4;4;4;4;4;4;1;1;4;1;4;4;4;4;4;4;4;3;2;3;4;4;2;4;4;4;4;3;3;3;3;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;3;1;3;2;2;1;2;2;2;2;4;4;4;4;4;4;3;3;3;4;4;1;1;2;3;3;4;4;4;6;CA;2;4;9;2;1;1;1;0;0;0;2;36;;2;6;1;1;2;7;2;35,55;0,2727;0,3786;4;2;2;3;1;1
17;3;8;2;1;3;3;3;3;1;2;3;3;3;3;3;2;2;2;4;5;6;1;2;5;5;3;1;5;4;3;4;3;5;15;3;15;5;3;3;3;3;3;3;2;5;2;3;3;3;2;2;2;2;2;3;3;3;2;3;4;3;3;4;3;2;1;4;3;3;3;3;3;3;4;2;4;2;4;3;2;1;4;4;2;3;2;4;4;3;2;1;1;4;4;4;4;3;3;4;4;3;4;4;4;2;1;3;3;2;2;3;1;1;4;1;4;4;4;2;2;3;2;2;1;1;3;1;1;2;2;3;3;3;2;3;4;1;2;1;2;1;2;2;2;3;1;4;4;3;4;4;4;4;4;4;4;4;4;4;3;3;6;2;1;2;1;4;4;4;4;2;4;4;3;4;3;3;1;2;2;3;3;3;3;3;1;DE;3;3;5;1;1;6;1;0;0;0;2;34;;2;4;1;1;2;23;2;28,916667;0,1586;0,2451;1;2;2;2;1;1
18;2;2;2;1;1;2;2;3;1;1;3;3;2;3;3;3;2;2;2;2;2;1;1;6;6;1;6;6;4;2;2;2;1;1;2;5;25;4;3;3;3;4;3;1;2;2;4;4;4;2;2;2;2;2;2;4;4;3;2;4;4;4;3;2;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;2;4;2;2;4;2;4;4;4;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;1;1;2;2;2;1;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;4;4;4;4;4;3;2;4;4;4;4;4;3;3;1;1;3;1;1;2;3;1;4;4;4;1;2;3;2;2;2;1;4;2;4;4;4;4;1;2;4;4;3;1;1;1;1;4;1;2;4;8;NY;4;1;2;1;3;1;3;0;0;0;2;55;;3;7;1;1;1;2;1;12,466667;0,4696;0,285;2;1;3;4;1;3
19;1;1;2;5;;;;;1;4;4;3;1;4;4;1;4;4;4;6;6;1;2;5;6;5;5;6;4;4;4;4;0;0;0;0;30;1;1;1;1;1;1;3;4;4;2;2;4;4;1;1;1;1;1;4;4;1;1;4;4;4;4;1;1;1;1;4;1;1;2;1;2;1;1;2;2;1;2;1;1;4;4;1;1;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;2;4;4;4;2;2;4;4;2;1;3;4;1;4;1;4;4;4;4;2;2;2;2;2;2;2;4;2;2;2;4;2;2;2;2;2;1;1;2;1;2;4;4;2;1;1;2;4;4;4;4;4;4;4;4;4;1;1;1;1;4;4;2;2;2;2;4;4;4;4;4;4;4;2;2;2;3;1;1;1;2;1;4;4;4;9;NE;1;2;4;1;3;1;2;1;1;1;1;40;;2;5;1;1;2;90;2;13,383333;0,7601;1,1536;5;2;2;2;1;3
20;1;1;3;3;;;;;1;2;3;2;1;3;2;2;2;2;4;4;4;1;3;3;5;1;6;6;2;2;2;2;0;0;0;2;20;3;3;3;2;3;3;1;5;4;4;2;3;3;4;2;1;2;2;3;2;2;2;3;1;3;4;1;2;2;2;4;2;2;2;3;4;4;2;3;4;2;2;3;2;4;3;2;2;2;2;4;4;3;3;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;4;2;4;1;1;2;2;2;3;3;3;4;3;4;2;4;4;4;4;3;3;3;3;4;3;3;3;2;1;4;3;3;2;4;3;4;4;2;2;3;2;2;3;2;2;2;3;3;4;4;4;3;5;4;1;2;2;1;4;3;4;4;4;1;1;3;4;4;4;1;2;1;3;4;1;3;4;6;IL;3;2;3;1;3;3;2;0;0;0;2;55;;3;4;1;1;1;90;1;15,616667;0,4635;0,6737;5;1;3;2;1;3
21;2;2;2;1;2;1;2;2;1;1;1;3;1;1;3;2;1;1;1;3;2;1;1;2;1;1;1;5;1;1;3;2;10;3;5;0;10;3;2;3;4;4;4;2;5;2;2;1;3;2;1;2;2;3;3;3;3;2;3;2;3;4;2;4;2;2;2;3;2;2;2;3;2;4;2;4;2;3;3;2;3;3;1;3;1;3;1;3;1;3;2;2;1;3;3;4;3;3;3;4;1;3;4;1;2;3;1;1;1;1;1;2;2;3;2;1;3;4;3;1;2;4;2;4;2;4;1;4;3;2;1;4;3;3;2;1;1;1;1;1;1;1;1;1;3;1;1;3;2;3;2;1;1;2;3;1;4;2;4;3;3;2;1;2;2;1;4;4;4;4;3;3;1;3;3;3;3;2;3;1;4;4;1;1;1;2;PA;1;1;2;1;6;7;1;0;0;0;2;63;;3;4;1;1;1;15;1;13,883333;0,3051;0,1996;1;1;3;2;1;2
22;1;2;4;3;;;;;1;4;4;4;3;4;3;1;2;3;4;3;3;1;1;5;4;1;1;5;3;2;2;2;0;2;1;2;28;3;3;2;3;3;3;4;4;4;4;4;4;4;4;2;2;2;2;2;2;3;2;4;3;4;4;3;3;4;4;4;4;4;4;4;4;4;3;4;3;3;3;3;4;4;4;3;3;4;3;4;4;4;4;4;4;4;4;4;3;4;4;4;4;3;4;4;4;4;4;3;4;4;4;1;1;3;1;2;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;4;3;4;4;4;4;4;4;4;4;4;3;2;4;3;3;2;3;2;4;3;2;4;4;4;2;3;3;1;2;2;1;4;4;4;4;1;2;3;3;2;3;3;1;2;1;2;4;2;4;2;9;MA;3;1;1;1;3;1;3;1;0;0;1;47;;2;8;1;1;1;90;2;17,7;0,9675;0,5916;5;1;2;4;1;3
23;3;4;2;1;2;2;2;2;1;1;1;3;1;2;2;2;2;2;1;2;4;1;1;3;2;3;4;6;2;2;4;3;0;0;4;1;0;2;2;2;2;3;4;2;5;3;4;2;3;3;4;2;2;3;2;4;3;2;4;2;1;4;2;1;1;1;3;4;3;1;2;1;3;4;2;2;2;3;3;1;3;3;1;1;3;1;1;4;4;3;4;4;2;4;3;4;4;4;4;4;2;4;3;4;3;2;4;3;3;2;3;1;1;4;4;4;4;4;3;3;2;3;2;4;4;4;4;4;3;4;3;4;1;1;2;2;3;3;3;3;3;3;3;3;1;1;1;3;1;1;2;3;2;2;3;1;1;1;1;3;3;2;1;2;2;1;3;3;4;4;2;1;1;2;4;4;4;1;1;1;2;4;1;1;1;2;GA;3;3;5;1;6;3;2;0;0;0;2;69;;4;4;1;1;2;97;1;16,5;0,785;0,5697;4;2;4;2;1;2
24;2;4;3;1;3;3;3;3;1;2;2;2;1;2;3;3;1;2;3;2;4;1;1;2;2;1;2;6;2;2;2;2;0;0;0;0;30;2;2;3;4;2;4;1;3;1;1;4;4;3;4;2;1;1;2;2;2;1;2;4;4;2;4;3;2;2;3;3;3;3;4;4;3;2;2;2;2;2;2;4;4;4;4;2;2;4;2;4;4;4;4;4;4;4;4;3;3;4;4;4;3;4;4;4;4;4;3;3;2;3;3;2;2;2;2;1;1;3;4;4;3;4;2;2;4;4;4;2;4;3;4;4;2;3;3;3;2;2;3;4;2;2;3;2;4;2;3;2;1;2;2;3;2;3;3;1;4;4;4;3;3;4;2;1;2;1;4;2;4;4;3;4;1;3;3;4;4;1;3;1;3;4;1;3;3;8;AZ;1;4;8;2;6;1;2;1;0;1;1;42;;2;3;1;1;1;90;2;11,083333;0,4421;0,7022;5;1;2;1;1;2
25;4;7;1;1;3;4;2;4;1;1;3;2;3;3;3;2;1;1;4;4;4;1;3;5;5;6;6;6;4;4;4;4;0;0;0;1;29;4;4;4;4;4;4;4;5;5;4;3;4;4;4;2;2;2;2;3;3;2;2;4;3;4;4;2;2;1;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;2;4;4;4;4;4;3;3;3;1;2;2;3;3;2;2;3;3;4;4;4;4;4;4;4;4;4;4;3;3;4;4;3;4;4;4;3;3;3;3;3;3;3;3;4;2;3;3;3;2;2;3;2;2;4;2;4;4;4;3;1;2;2;1;2;2;2;1;1;1;4;1;2;1;1;3;3;1;1;1;1;4;3;3;4;8;PA;2;1;2;1;3;1;2;0;0;0;2;57;;3;8;1;1;1;8;1;12,316667;0,2;0,2711;1;1;3;4;1;3
26;2;4;4;3;;;;;1;1;3;2;2;3;3;1;1;1;4;4;7;1;2;1;5;2;2;3;1;2;4;2;5;0;5;0;25;1;1;2;2;2;2;1;4;1;3;4;3;3;1;1;1;3;2;1;3;2;2;4;4;2;3;1;3;1;2;3;2;2;2;2;2;4;2;1;1;2;2;2;2;4;4;1;2;2;3;4;4;3;1;3;2;4;3;4;1;3;4;4;3;4;3;4;4;3;3;2;2;3;1;2;2;3;2;3;2;3;2;2;1;1;1;1;2;2;1;1;2;3;2;2;3;3;1;1;2;1;2;1;2;2;2;2;4;2;4;4;1;4;4;4;2;4;4;4;1;1;1;4;3;3;2;1;2;2;4;4;4;4;1;4;1;1;3;4;4;1;4;1;3;3;4;2;3;3;LA;1;3;7;2;5;2;3;0;1;0;2;65;;4;5;10;1;2;1;2;31,433333;0,3216;0,5001;1;2;4;2;4;2
27;1;1;4;3;;;;;2;4;4;4;3;4;2;1;4;4;4;7;7;1;2;1;6;4;6;6;2;2;3;2;2;3;0;0;5;2;1;1;3;1;1;4;4;4;4;3;4;3;1;1;1;3;2;4;4;2;4;4;4;4;3;1;4;4;3;4;4;4;3;3;3;3;3;4;4;3;3;2;4;4;4;4;3;3;4;4;4;4;4;3;3;3;4;4;3;3;4;4;1;4;4;4;3;4;4;4;4;3;4;1;1;3;2;3;3;3;4;4;4;4;3;4;4;4;4;4;3;2;4;4;4;3;3;4;4;4;3;4;4;4;3;4;4;1;4;4;2;3;3;4;4;3;4;3;3;3;1;4;2;1;2;2;2;1;4;3;4;4;1;4;3;4;4;3;3;4;4;4;4;4;4;3;4;3;WA;2;4;9;1;1;3;1;0;0;0;2;84;;4;6;1;1;1;90;1;19,766667;0,3727;0,5238;5;1;4;3;1;1
28;1;3;4;3;;;;;2;4;4;3;1;4;3;1;3;3;4;4;4;4;4;1;5;2;6;2;2;2;2;2;0;0;0;0;30;1;2;1;1;1;1;1;5;2;2;1;3;4;2;1;1;3;2;2;3;3;2;4;4;2;2;1;1;1;3;3;3;3;3;3;3;3;4;2;3;1;3;3;3;4;4;3;2;3;3;4;4;4;4;4;4;4;3;4;4;4;3;3;3;4;4;4;4;4;4;2;1;2;2;2;2;4;4;4;4;4;4;4;4;4;4;3;4;4;4;3;4;4;4;4;3;3;4;2;4;2;2;2;2;3;2;2;2;1;4;4;4;4;4;4;4;3;4;4;1;1;1;3;2;1;2;1;1;2;4;3;4;4;1;1;3;3;1;2;3;1;1;2;1;1;1;1;1;5;CA;2;4;9;2;1;6;1;0;0;0;2;51;;3;6;1;2;1;90;1;16,216667;0,6733;0,8952;5;1;3;3;1;1
30;3;5;3;1;2;3;2;3;2;3;3;2;2;1;1;3;1;1;3;2;1;1;1;2;3;4;4;6;1;1;1;1;20;0;30;0;5;4;3;3;4;2;4;4;5;4;4;1;4;4;1;2;1;3;3;2;3;2;2;3;3;4;4;2;3;3;3;2;4;3;4;4;4;4;3;4;4;4;4;2;3;3;1;3;2;4;4;4;4;4;4;4;3;4;3;4;4;4;4;4;4;2;4;4;4;4;3;3;3;3;3;1;1;2;2;2;2;2;4;4;4;4;4;4;4;4;4;4;3;3;4;4;3;3;3;4;2;2;3;3;2;3;3;3;4;1;2;2;3;2;3;2;2;3;2;1;4;4;4;1;1;4;2;2;2;2;4;3;2;3;4;3;1;1;2;3;4;1;1;1;2;4;1;1;3;8;AL;2;3;6;1;3;1;2;0;0;0;2;51;;3;4;1;1;1;1;1;23,433333;0,7204;1,0668;1;1;3;2;1;3
31;2;2;5;1;1;3;3;3;1;3;3;4;1;4;2;1;4;4;4;4;2;1;1;6;6;1;1;6;2;1;3;1;4;10;7;10;15;1;1;1;4;3;1;4;4;4;4;4;4;4;4;2;2;2;2;3;4;2;1;4;4;4;4;4;4;4;3;1;3;4;4;4;3;4;4;4;4;2;4;4;2;1;1;2;1;4;2;4;1;4;4;2;1;4;2;4;2;4;4;4;4;4;4;4;4;4;4;4;3;3;4;1;1;1;4;2;3;1;4;1;4;1;1;3;3;1;4;3;1;1;4;3;1;1;2;4;4;3;3;3;3;3;2;4;2;1;1;1;1;1;3;1;1;1;1;1;4;4;4;3;3;3;2;2;2;1;4;4;4;4;4;1;2;1;2;4;3;1;2;1;4;4;4;4;4;6;OK;3;3;7;1;3;1;2;2;2;0;1;42;;2;6;1;1;2;97;2;28,316667;0,5172;0,332;4;2;2;3;1;3
32;3;5;4;4;;;;;3;3;4;3;2;4;4;1;1;2;4;6;5;1;2;4;3;2;1;6;2;2;2;2;0;2;2;2;28;4;1;2;4;3;1;1;4;2;4;4;4;4;3;2;2;3;1;2;4;4;4;4;4;1;3;2;2;3;4;4;4;4;4;2;4;4;4;3;4;1;4;4;4;4;4;4;4;3;3;4;4;4;4;3;4;4;4;4;3;4;3;4;4;4;1;4;4;3;4;4;4;4;4;1;1;4;1;4;4;4;3;4;4;4;3;4;4;4;4;2;4;4;4;4;2;2;3;4;2;2;3;4;1;4;3;3;4;1;4;4;4;4;4;4;4;4;4;4;4;4;4;1;4;4;2;2;2;1;3;4;4;4;4;3;3;4;3;4;3;2;2;3;4;4;3;3;4;2;CA;2;4;9;2;1;1;2;0;0;0;2;21;;1;4;1;2;1;7;2;13,433333;0,4606;0,684;4;1;1;2;1;1
33;4;8;2;2;2;4;2;4;1;2;3;4;1;4;2;1;2;2;3;4;4;1;2;1;3;1;2;4;3;3;3;3;0;0;3;0;15;3;4;2;2;2;2;3;5;4;4;3;3;3;1;1;1;3;1;3;2;2;1;1;2;4;4;2;3;3;3;4;4;3;3;2;2;4;3;2;4;2;2;2;2;4;4;1;3;3;2;4;4;4;4;3;4;3;2;4;2;1;3;4;4;3;3;4;3;4;4;4;4;4;4;1;1;3;2;3;3;2;3;4;4;4;3;4;4;4;4;4;3;3;3;4;3;3;3;3;4;4;3;2;4;4;4;4;4;2;3;4;3;4;3;4;4;3;4;4;3;2;2;2;2;2;2;1;2;1;4;2;2;3;2;3;3;1;1;1;1;1;1;1;1;2;4;3;4;7;NV;5;4;8;1;3;3;2;0;0;0;2;68;;4;8;3;1;1;10;2;29,833333;0,7456;1,138;3;1;4;4;3;3
